comment,comment_length
"I’ve been trying to get my project on GitHub for a week and after watching your video, did it in 5 minutes, thanks so much!",123
"Can you please use a mouse pointer focus highlight, its at times impossible to see where you are clicking. Thanks",113
"Exactly what i was looking for , clean , to the point and quick without wasting any time, thanks",96
that was very useful thank youuu,32
Good job..easy to follow and understand.Thank you..,51
"Gotta love these to the point kind of videos.<br>Great when you just want to get in and get it working, no 30 minute explanations etc. .. Done. Up and running within 6 mins. Good job.",183
This guy is a boss!,19
You are a great teacher.  Git is a bugbear and you made it simpler.  Thanks!,76
"Tip: <a href=""https://www.youtube.com/watch?v=i_23KUAEtUM&amp;t=162"">02:42</a> hit Save to see your file appear in the source control with an M (Other wise it will no show up...)",178
Thanks so much! This was so helpful!,36
"Great tutorial, helped a lot.",29
❤❤❤🫡,4
"Woah, extremly cool. Short and clear. That&#39;s the way it should be. 👍👍",73
"Raynald please do all future VScode/Microsoft videos. no crap, clear, and whats needed.",87
"Fantastic content, to the point, without any unecessary dialogue. This is all I needed to start using VS Code, Git and GitHub. Thank you sir.",141
Brillaint video well done sir!,30
This is a real tutorial,23
"wow, this is awesome bud! Straight and to the point! Thank you for making the video and sharing it!",99
"this is really well explained, helped me a lot! 🙌🏼",50
"Thanks a lot, everything was well explained.",44
This video is on point.,23
"what the fuck bro, that is just gold, remove all the doubts",59
once i committed the file its only showing publish branch and it&#39;s not showing changes drop down like in the video. even i tried to create a new branch whatever i do in the new branch it&#39;s changing in the main branch too. someone help me,245
Great video! I will just have to add that who is new to this should configure the email and username and create SSH key to be able to clone and push.,149
"its soooo stupid. if you are working with mac and windows, its nearly impossible. why they dont just make a normal fucking cloud",128
damn his eyes are shiny. its like these snow globes,51
Thank you. You helped me a lot,30
pls what does &quot;Git&quot; &amp; &quot;GitHub&quot; mean in Vs Code?,71
vs code (microsoft) using mac is funny,38
Soooooo hard... too many step for a noob like me...,51
Initialize repository is not showing in the source control panel what should i do ? . And also more than 20k changes are staged at once It&#39;s showing an error message,169
"Great job Reynald! I&#39;m transitioning my career from Hardware engineering to software. This is week 3, I&#39;m starting with GIT. Thanks! LFG",144
very nice and smooth ty,23
